Date,Adj Close,Label,Open,High,Low,Volume,Subjectivity,Polarity,compound,neg,pos,neu
2009-03-31,7608.919922,1,7523.77002,7725.359863,7523.450195,399840000,0.40805675805675806,-0.018482443482443486,-0.99,0.143,0.063,0.793
2009-04-01,7761.600098,1,7606.129883,7789.0,7483.870117,361340000,0.3538364413364414,-0.004671717171717175,-0.9752,0.14,0.078,0.782
2009-04-02,7978.080078,1,7763.990234,8075.72998,7763.990234,442820000,0.30599999999999994,0.14357142857142857,-0.9945,0.205,0.065,0.73
2009-04-03,8017.589844,0,7980.629883,8019.5,7897.240234,308210000,0.42072336265884647,-0.05464320625610948,-0.9952,0.167,0.06,0.772
2009-04-06,7975.850098,0,8016.160156,8016.160156,7862.200195,247400000,0.35562169312169317,-0.1160978835978836,-0.9958,0.213,0.069,0.718
2009-04-07,7789.560059,1,7968.919922,7969.080078,7762.080078,276920000,0.36271979049756836,-0.06737747848858959,-0.9981,0.21,0.033,0.757
2009-04-08,7837.109863,1,7788.680176,7887.52002,7750.850098,255350000,0.3054756054756055,0.03238928863928864,-0.9779,0.137,0.064,0.799
2009-04-09,8083.379883,0,7839.890137,8087.279785,7839.890137,462060000,0.33362775217613927,-0.07028289810547875,-0.9971,0.19,0.034,0.775
2009-04-13,8057.810059,0,8082.02002,8113.410156,7963.75,424250000,0.2963288052943225,-0.0328753047718565,-0.9947,0.192,0.043,0.765
2009-04-14,7920.180176,1,8057.410156,8057.410156,7902.259766,513010000,0.2977225672877847,0.03022774327122154,-0.9946,0.167,0.048,0.786
2009-04-15,8029.620117,1,7914.919922,8041.319824,7870.47998,413280000,0.2779671717171717,0.037452651515151515,-0.9948,0.199,0.063,0.739
2009-04-16,8125.430176,1,8029.140137,8168.120117,7962.709961,359470000,0.38523513523513525,0.08322418322418322,-0.9975,0.214,0.035,0.75
2009-04-17,8131.330078,0,8125.430176,8190.660156,8086.879883,537670000,0.420846394984326,-0.003631138975966554,-0.9964,0.234,0.089,0.676
2009-04-20,7841.72998,1,8128.939941,8128.939941,7840.450195,453660000,0.30722222222222223,-0.1322222222222222,-0.995,0.166,0.051,0.783
2009-04-21,7969.560059,0,7841.72998,7979.200195,7791.950195,424030000,0.3125151515151515,0.007121212121212124,-0.9952,0.192,0.076,0.732
2009-04-22,7886.569824,1,7964.779785,8044.830078,7868.009766,387030000,0.4228839143312827,0.06524550011392116,-0.9869,0.138,0.052,0.809
2009-04-23,7957.060059,1,7886.810059,7979.439941,7804.209961,327240000,0.3776547526547527,0.09645169645169648,-0.9956,0.191,0.091,0.718
2009-04-24,8076.290039,0,7957.450195,8127.5,7957.450195,402720000,0.32681159420289857,0.07223320158102767,-0.9924,0.193,0.081,0.726
2009-04-27,8025.0,0,8073.819824,8122.560059,7987.160156,282990000,0.3415742793791574,0.0967941611234294,-0.9837,0.135,0.056,0.809
2009-04-28,8016.950195,1,8023.560059,8091.660156,7938.97998,274710000,0.42323247265554953,0.008951048951048939,-0.9961,0.199,0.067,0.734
2009-04-29,8185.72998,0,8018.310059,8257.570312,8017.910156,300340000,0.43529180695847364,0.08227272727272723,-0.9791,0.128,0.062,0.81
2009-04-30,8168.120117,1,8188.509766,8307.509766,8136.899902,341400000,0.43942460317460313,-0.01025793650793651,-0.9969,0.214,0.038,0.748
2009-05-01,8212.410156,1,8167.410156,8219.80957,8099.310059,237360000,0.41183585858585864,0.0848118686868687,-0.9982,0.207,0.082,0.711
2009-05-04,8426.740234,0,8213.599609,8434.860352,8213.599609,354490000,0.36439393939393944,0.022474747474747467,-0.9925,0.154,0.069,0.776
2009-05-05,8410.650391,1,8425.549805,8458.120117,8362.780273,311490000,0.29207589285714286,0.05710903679653678,-0.997,0.221,0.049,0.73
2009-05-06,8512.280273,0,8403.480469,8518.570312,8403.0,454480000,0.41093975468975463,0.021942640692640673,-0.9941,0.197,0.079,0.724
2009-05-07,8409.849609,1,8512.280273,8577.19043,8358.0,476640000,0.3776283240568955,0.08739564007421151,-0.9895,0.151,0.056,0.793
